需求编号,需求模块,需求描述,优先级,对应PRD章节,SRS章节,验收标准,状态
FR-USER-01,用户模块,微信扫码登录（ticket机制+轮询+JWT）,P0,2.1/7.1,4.1,扫码后<=5秒完成登录;ticket 5分钟有效,未开始
FR-USER-02,用户模块,登录状态鉴权（Token拦截器校验）,P0,2.1/7.1,4.1,未登录请求业务接口返回401,未开始
FR-USER-03,用户模块,查询当前用户信息,P0,2.1,4.1,接口返回昵称/头像/手机号,未开始
FR-USER-04,用户模块,收货地址管理（增改查）,P0,4.1,4.1,地址CRUD可用,未开始
FR-USER-05,用户模块,用户状态（正常/冻结/注销）,P1,4.1,4.1,冻结用户业务请求被拒绝,未开始
FR-USER-06,用户模块,登录轮询限流（同ticket每2秒1次）,P1,7.1,4.1,超频请求被限流,未开始
FR-PRODUCT-01,商品模块,商品列表（分页+分类筛选）,P0,7.2,4.2,响应<200ms(缓存命中),未开始
FR-PRODUCT-02,商品模块,商品详情（含SKU/库存/价格）,P0,7.2,4.2,详情数据完整,未开始
FR-PRODUCT-03,商品模块,分类管理（分类树）,P1,7.2,4.2,分类树可用,未开始
FR-PRODUCT-04,商品模块,活动关联商品列表,P1,7.2,4.2,按活动ID返回商品,未开始
FR-PRODUCT-05,商品模块,商品/SKU管理（ERP CRUD+上下架）,P1,Phase 11,4.2,下架商品不出现在列表与搜索,未开始
FR-SEARCH-01,商品搜索模块,全文搜索（关键词+分类+价格区间+排序）,P1,Phase 2,4.3,P95响应<500ms,未开始
FR-SEARCH-02,商品搜索模块,搜索建议（自动补全）,P2,Phase 2,4.3,输入前缀返回建议词,未开始
FR-SEARCH-03,商品搜索模块,热门搜索词,P2,Phase 2,4.3,接口返回热门词,未开始
FR-SEARCH-04,商品搜索模块,MySQL→ES增量同步（Canal或SDK直写）,P1,Phase 2,4.3,数据变更<=1分钟生效,未开始
FR-CART-01,购物车模块,加入购物车（未登录按设备维度）,P0,4.2/7.2B,4.4,加购后总数即时可见,未开始
FR-CART-02,购物车模块,购物车列表（实时校验库存/价格/标记失效）,P0,7.2B,4.4,失效商品有提示且不可下单,未开始
FR-CART-03,购物车模块,数量更新/删除/选中/清空失效,P0,7.2B,4.4,操作正确,未开始
FR-CART-04,购物车模块,登录合并（设备购物车→用户购物车）,P1,7.2B,4.4,合并无重复无丢失,未开始
FR-CART-05,购物车模块,冷备份（Redis热数据TTL30天+MySQL冷备）,P1,4.2,4.4,Redis丢失可从MySQL恢复,未开始
FR-ORDER-01,订单模块,订单预览（券+积分试算+校验价格变化）,P0,7.2B,4.5,金额计算正确,未开始
FR-ORDER-02,订单模块,创建订单（批量/券/积分抵扣）,P0,7.2,4.5,锁券+冻积分+扣库存+建单同事务,未开始
FR-ORDER-03,订单模块,订单支付（收银台URL,状态PAY_WAIT）,P0,7.2,4.5,返回支付链接,未开始
FR-ORDER-04,订单模块,订单列表/详情（含物流）,P0,7.2,4.5,数据正确,未开始
FR-ORDER-05,订单模块,取消订单（回滚券+积分+库存）,P0,7.2,4.5,逆向回滚完整,未开始
FR-ORDER-06,订单模块,确认收货（用户/自动）,P0,Phase 7,4.5,签收后转DEAL_DONE,未开始
FR-ORDER-07,订单模块,超时关单（PAY_WAIT>30分钟自动CLOSE）,P0,7.2,4.5,释放库存/退券/退积分,未开始
FR-ORDER-08,订单模块,订单逻辑删除,P2,7.2,4.5,删除后列表不显示,未开始
FR-ORDER-09,订单模块,订单状态机（CREATE→PAY_WAIT→PAY_SUCCESS→DEAL_DONE/CLOSE/REFUND）,P0,7.2,4.5,状态流转正确,未开始
FR-PAY-01,支付模块,统一收银台（微信/支付宝）,P0,7.2,4.6,返回支付URL/表单,未开始
FR-PAY-02,支付模块,支付异步回调（RSA2验签+状态更新）,P0,7.2,4.6,验签失败拒绝;重复回调幂等,未开始
FR-PAY-03,支付模块,掉单补偿（定时查询+补执行回调）,P0,7.2,4.6,掉单<=2分钟自动补偿,未开始
FR-PAY-04,支付模块,支付单幂等（重复发起返回已有单）,P0,7.2,4.6,幂等生效,未开始
FR-PAY-05,支付模块,支付渠道抽象（可扩展新渠道）,P1,3.2,4.6,新增渠道只实现接口,未开始
FR-COUPON-01,优惠券模块,券模板管理（满减/折扣/运费/商品券 CRUD+发布）,P1,4.2/7.2C,4.7,模板CRUD可用,未开始
FR-COUPON-02,优惠券模块,领券（校验限领/发行余量）,P1,7.2C,4.7,超限不可领,未开始
FR-COUPON-03,优惠券模块,发券渠道（活动/签到/新人自动发）,P2,7.2C,4.7,各渠道发券正确,未开始
FR-COUPON-04,优惠券模块,锁券（下单时UNUSED→LOCKED同事务）,P1,7.2C,4.7,与订单同事务,未开始
FR-COUPON-05,优惠券模块,核销（支付成功LOCKED→USED）,P1,7.2C,4.7,支付成功自动核销,未开始
FR-COUPON-06,优惠券模块,退券（取消/退款→REFUNDED可再用）,P1,7.2C,4.7,退款后券可再次使用,未开始
FR-COUPON-07,优惠券模块,最优券计算（遍历求最大优惠）,P1,7.2B,4.7,返回最优券组合,未开始
FR-COUPON-08,优惠券模块,过期处理（定时扫描标记EXPIRED）,P1,7.2C,4.7,过期券不可使用,未开始
FR-AFTERSALE-01,售后模块,申请售后（仅退款/退货退款+凭证）,P1,7.2D,4.8,申请成功生成售后单,未开始
FR-AFTERSALE-02,售后模块,售后审核（通过/拒绝+备注）,P1,7.2D,4.8,审核状态正确,未开始
FR-AFTERSALE-03,售后模块,仅退款（原路退款+退券+退积分）,P1,7.2D,4.8,审核通过自动退款,未开始
FR-AFTERSALE-04,售后模块,退货退款（寄回→收货→退款+退券+退积分）,P1,7.2D,4.8,流程完整,未开始
FR-AFTERSALE-05,售后模块,售后状态机（9态流转）,P1,7.2D,4.8,状态流转正确,未开始
FR-AFTERSALE-06,售后模块,事件时间线（APPLY/AUDIT/SHIP/RECEIVE/REFUND/COMPLETE）,P2,7.2D,4.8,时间线完整,未开始
FR-LOGISTICS-01,物流模块,发货（ERP填物流单号→SHIPPED）,P1,Phase 7,4.9,发货后状态正确,未开始
FR-LOGISTICS-02,物流模块,轨迹查询/订阅（快递鸟）,P1,Phase 7,4.9,轨迹展示完整,未开始
FR-LOGISTICS-03,物流模块,自动签收→确认收货→DEAL_DONE,P1,Phase 7,4.9,签收后订单自动完成,未开始
FR-LOGISTICS-04,物流模块,物流补偿（定时轮询未签收订单）,P2,Phase 7,4.9,补偿任务可靠,未开始
FR-HOME-01,首页运营模块,Banner管理（CRUD+跳转链接）,P2,Phase 9,4.10,首页Banner生效,未开始
FR-HOME-02,首页运营模块,频道入口配置,P2,Phase 9,4.10,频道展示正确,未开始
FR-HOME-03,首页运营模块,推荐商品（热销/新品/活动）,P2,Phase 9,4.10,推荐规则生效,未开始
FR-HOME-04,首页运营模块,活动Tab（进行中拼团/抽奖）,P2,Phase 9,4.10,活动展示正确,未开始
FR-MESSAGE-01,消息模块,站内消息（列表/未读/已读/全部已读）,P2,Phase 9,4.11,未读数正确,未开始
FR-MESSAGE-02,消息模块,消息触发点（支付/发货/成团/退款/券到期）,P2,Phase 9,4.11,触发点全接通,未开始
FR-MESSAGE-03,消息模块,微信模板消息,P2,Phase 9,4.11,模板消息可发送,未开始
FR-LOTTERY-01,抽奖模块,抽奖执行（扣次数→责任链→决策树→概率→发奖）,P0,7.4/8.1-8.3,4.12,全链路跑通,未开始
FR-LOTTERY-02,抽奖模块,两种概率算法（单项O(1)/总体动态）,P0,8.1,4.12,算法正确,未开始
FR-LOTTERY-03,抽奖模块,决策树规则（锁次数/库存/兜底）,P0,8.2,4.12,规则生效,未开始
FR-LOTTERY-04,抽奖模块,活动账户（总/日/月次数扣减防超）,P0,4.2,4.12,次数不超扣,未开始
FR-LOTTERY-05,抽奖模块,奖品发放（发奖工厂+MQ异步）,P0,7.4,4.12,按奖品类型分发正确,未开始
FR-LOTTERY-06,抽奖模块,发奖补偿（本地消息表+XXL-Job重发）,P0,7.4,4.12,发奖消息最终必达,未开始
FR-LOTTERY-07,抽奖模块,量化抽奖（人群标签）,P2,6.12,4.12,按标签抽奖正确,未开始
FR-LOTTERY-08,抽奖模块,策略/活动装配预热（armory）,P1,6.12,4.12,预热后响应快,未开始
FR-LOTTERY-09,抽奖模块,中奖记录/奖品列表查询,P1,6.12,4.12,查询正确,未开始
FR-GROUPBUY-01,拼团模块,开团/参团锁单（责任链+防重+Redis库存）,P0,7.4,4.13,并发不超团,未开始
FR-GROUPBUY-02,拼团模块,支付结算（回调→进度更新→成团判断）,P0,7.4,4.13,进度正确,未开始
FR-GROUPBUY-03,拼团模块,成团/超时失败自动退款,P0,7.4,4.13,超时退款可靠,未开始
FR-GROUPBUY-04,拼团模块,四种折扣策略（直减/满减/折扣/N元购）,P0,2.4,4.13,折扣计算正确,未开始
FR-GROUPBUY-05,拼团模块,拼团退单（未支付/未成团/已成团）,P0,2.4,4.13,三策略正确,未开始
FR-GROUPBUY-06,拼团模块,成团回调通知（HTTP/MQ+定时补偿）,P1,2.4,4.13,通知必达,未开始
FR-GROUPBUY-07,拼团模块,拼团首页/详情（试算/队伍进度）,P1,6.13,4.13,数据正确,未开始
FR-CREDIT-01,积分模块,积分账户（累计/可用/冻结+防透支）,P0,7.5,4.14,原子调整不超余额,未开始
FR-CREDIT-02,积分模块,积分流水（正向/逆向+out_biz_no防重）,P0,7.5,4.14,流水完整无重复,未开始
FR-CREDIT-03,积分模块,行为返利（签到/购物返积分）,P1,7.5,4.14,返利正确,未开始
FR-CREDIT-04,积分模块,积分兑换（抽奖次数/SKU,7步事务+MQ）,P1,7.5,4.14,兑换闭环完整,未开始
FR-CREDIT-05,积分模块,订单积分抵扣（互斥/叠加规则）,P1,Phase 5,4.14,矩阵规则生效,未开始
FR-REBATE-01,返利模块,日历签到（防重复）,P1,6.15,4.15,一天只能签一次,未开始
FR-REBATE-02,返利模块,签到记录查询,P2,6.15,4.15,查询正确,未开始
FR-REBATE-03,返利模块,行为返利配置化（sign/pay/share→sku/integral）,P1,2.3,4.15,配置生效,未开始
FR-ACTIVITY-01,营销活动管理,活动状态机（编辑→提审→通过→运行→关闭）,P0,7.6,4.16,状态流转正确,未开始
FR-ACTIVITY-02,营销活动管理,活动配置（类型/时间/策略折扣/限制）,P0,4.2,4.16,配置生效,未开始
FR-ACTIVITY-03,营销活动管理,人群定向（可见性/参与限制）,P1,2.4,4.16,定向正确,未开始
FR-ACTIVITY-04,营销活动管理,活动SKU库存（活动价+库存独立）,P0,4.2,4.16,库存独立管理,未开始
FR-ERP-01,运营后台ERP,活动管理（创建/编辑/提审/审核/启停）,P1,Phase 11,4.17,全流程可用,未开始
FR-ERP-02,运营后台ERP,策略配置（奖品概率/规则树可视化）,P1,Phase 11,4.17,配置生效,未开始
FR-ERP-03,运营后台ERP,优惠券管理（创建/发布/统计）,P1,Phase 11,4.17,管理可用,未开始
FR-ERP-04,运营后台ERP,商品管理（CRUD+上下架）,P1,Phase 11,4.17,管理可用,未开始
FR-ERP-05,运营后台ERP,订单管理（列表/详情/发货）,P1,Phase 11,4.17,管理可用,未开始
FR-ERP-06,运营后台ERP,售后处理（审核+退货收货确认）,P1,Phase 11,4.17,处理可用,未开始
FR-ERP-07,运营后台ERP,首页配置（Banner/频道）,P2,Phase 11,4.17,配置生效,未开始
FR-ERP-08,运营后台ERP,数据看板（GMV/订单量/转化/核销率）,P2,Phase 11,4.17,数据准确,未开始
FR-RISK-01,风控需求,接口/用户级限流（超限429）,P1,8.5,4.18,超限返回429,未开始
FR-RISK-02,风控需求,黑名单（手动/自动拉黑24h超5次）,P1,8.5,4.18,自动拉黑生效,未开始
FR-RISK-03,风控需求,熔断降级（Sentinel 150ms+10s半开+DCC开关）,P1,8.5,4.18,降级动态生效,未开始
NFR-PERF-01,性能,商品查询响应 P95<200ms,必选,1.3,5.1,压测达标,未开始
NFR-PERF-02,性能,搜索响应 P95<500ms,必选,1.3,5.1,压测达标,未开始
NFR-PERF-03,性能,下单响应 P95<500ms,必选,1.3,5.1,压测达标,未开始
NFR-PERF-04,性能,登录响应<200ms,必选,1.3,5.1,压测达标,未开始
NFR-PERF-05,性能,抽奖1000 QPS库存不超发,必选,1.3,5.1,压测达标,未开始
NFR-AVAIL-01,可用性一致性,核心链路限流/熔断/降级防护,必选,1.3,5.2,降级开关动态生效,未开始
NFR-AVAIL-02,可用性一致性,库存精确扣减（Redis+DB行锁+补偿）,必选,8.3,5.2,并发不超发,未开始
NFR-AVAIL-03,可用性一致性,最终一致性（本地消息表+MQ+定时补偿）,必选,8.6,5.2,消息最终必达,未开始
NFR-AVAIL-04,可用性一致性,支付掉单<=2分钟自动补偿,必选,7.2,5.2,补偿及时,未开始
NFR-AVAIL-05,可用性一致性,定时任务可靠性,必选,7.2,5.2,任务无漏执行,未开始
NFR-SEC-01,安全,支付验签（RSA2/微信签名）,必选,7.2,5.3,验签失败拒绝,未开始
NFR-SEC-02,安全,身份鉴权（JWT+越权拒绝）,必选,7.1,5.3,越权返回403,未开始
NFR-SEC-03,安全,幂等防护（回调/领券/签到/积分）,必选,7.2,5.3,重复请求不产生副作用,未开始
NFR-SEC-04,安全,敏感信息脱敏不落明文,必选,11,5.3,扫描无硬编码密钥,未开始
NFR-SEC-05,安全,全链路风控（限流/黑名单/熔断/降级）,必选,8.5,5.3,四级防护生效,未开始
NFR-OBS-01,可观测,Prometheus+Grafana监控,必选,3.3,5.4,指标面板齐全,未开始
NFR-OBS-02,可观测,ELK日志+链路追踪,必选,3.3,5.4,日志可查,未开始
NFR-OBS-03,可观测,关键指标告警规则,必选,3.3,5.4,告警触发,未开始
NFR-EXT-01,扩展性,DDD六边形架构,必选,3.1,5.5,分层清晰,未开始
NFR-EXT-02,扩展性,营销可插拔（新活动类型实现接口）,必选,1.3,5.5,新增类型低成本,未开始
NFR-EXT-03,扩展性,支付渠道可扩展,必选,3.2,5.5,新增渠道只实现接口,未开始
NFR-EXT-04,扩展性,分库分表可扩容（2×4→4×8）,必选,8.4,5.5,扩容方案可行,未开始
NFR-EXT-05,扩展性,平滑微服务化（预留RPC边界）,必选,附录C,5.5,接口已预留,未开始
NFR-COMP-01,兼容性,现代浏览器/微信内置浏览器,必选,11.4,5.6,页面正常,未开始
NFR-COMP-02,兼容性,JDK 21,必选,3.3,5.6,编译运行正常,未开始
